compang,dili,position,pay,level
['河南华升通信科技有限公司'],['郑州'],移动通信4G5G优化规划工程师,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],通信基站工程督导实习生,2k-4k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],4G5G网络优化规划工程师,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],华为4G5G通信工程师管住,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],5G网络优化工程师,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],华为通信技术工程师,6k-8k,本科生毕业
['河南华升通信科技有限公司'],['郑州'],招聘专员/助理,4k-6k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],4G5G路测实习生管住,2k-4k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],无线网络优化工程师双休管住,6k-8k,本科生毕业
['河南华升通信科技有限公司'],['郑州'],5G华为通信工程师五险一金,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],华为通信技术工程师,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],LTE通信技术工程师,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],移动无线通信工程师,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],4G5G网络优化工程师,6k-8k,专科生毕业
['河南华升通信科技有限公司'],['郑州'],5G通信技术工程师,6k-8k,专科生毕业
['软通动力信息技术（集团）有限公司'],['杭州'],软件测试工程师,6k-8k,本科生毕业
['软通动力信息技术（集团）有限公司'],['杭州'],软件工程师,6k-8k,本科生毕业
['软通动力信息技术（集团）有限公司'],['杭州'],游戏测试工程师,6k-8k,本科生毕业
['华兰生物工程股份有限公司'],['新乡'],药品研发人员,4k-6k,本科生毕业
['华兰生物工程股份有限公司'],['新乡'],学术专员,4k-6k,本科生毕业
['华兰生物工程股份有限公司'],['新乡'],不良反应专员,4k-6k,本科生毕业
['华兰生物工程股份有限公司'],['新乡'],临床研究员,4k-6k,硕士生毕业
['华兰生物工程股份有限公司'],['新乡'],人力资源实习生,2k-4k,本科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],销售代表/业务员/销售助理,6k-8k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],销售经理/主管,8k-10k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],文员/秘书/经理助理,4k-6k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],品牌经理/主管,6k-8k,本科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],营销专员/助理,6k-8k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],销售代表/业务员/销售助理,4k-6k,中专生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],储备干部加五险一金,4k-6k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],外派出差,4k-6k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],储备干部五千加五险一金,6k-8k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],文员/秘书/经理助理,2k-4k,本科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],销售代表/业务员/销售助理,4k-6k,本科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],管培生,6k-8k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],管培生,6k-8k,本科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],外派出差,4k-6k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],人力资源专员/人事助理,2k-4k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],后勤,4k-6k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],品牌专员/助理,6k-8k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],行政专员/助理,4k-6k,本科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],管培生,6k-8k,专科生毕业
['河南省曼蒂玛拉商贸有限公司'],['郑州'],管培生加五险一金,6k-8k,专科生毕业
['郑州嵘禾医疗科技有限公司'],['郑州'],管培生,4k-6k,专科生毕业
['郑州嵘禾医疗科技有限公司'],['郑州'],储备干部,4k-6k,专科生毕业
['郑州嵘禾医疗科技有限公司'],['郑州'],销售代表/业务员/销售助理,4k-6k,专科生毕业
['郑州嵘禾医疗科技有限公司'],['郑州'],医疗器械销售,4k-6k,专科生毕业
['郑州嵘禾医疗科技有限公司'],['郑州'],店员,4k-6k,专科生毕业
['郑州嵘禾医疗科技有限公司'],['郑州'],储备店长,4k-6k,专科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],培训助理,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],JAVA助理工程师,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],物控专员,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],前端助理工程师,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],食品研发实习生,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],新媒体运营专员/助理,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],法务专员/助理,2k-4k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],客服专员/助理,2k-4k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],市场专员/助理,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],人力资源专员/人事助理,2k-4k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],采购专员/助理,2k-4k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],财务专员/助理,2k-4k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],运营督导,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],食品/饮料质检员,4k-6k,本科生毕业
['河南锅圈供应链管理有限公司'],['郑州'],管培生,4k-6k,本科生毕业
['新乡市奥联电气设备有限公司'],['新乡'],普工/操作工,4k-6k,专科生毕业
['新乡市奥联电气设备有限公司'],['新乡'],机械质检员,4k-6k,本科生毕业
['新乡市奥联电气设备有限公司'],['新乡'],机械工艺/制程工程师,6k-8k,本科生毕业
['新乡市奥联电气设备有限公司'],['新乡'],机电工程师,6k-8k,本科生毕业
['天鹤汽车模具有限公司'],['鹤壁'],汽车冲压工程师,4k-6k,本科生毕业
['中煤第六十八工程有限公司'],['济宁'],土木/土建工程师,6k-8k,本科生毕业
['中煤第六十八工程有限公司'],['济宁'],会计,4k-6k,本科生毕业
['中煤第六十八工程有限公司'],['济宁'],技术员,6k-8k,本科生毕业
['中煤第六十八工程有限公司'],['济宁'],安全员,6k-8k,本科生毕业
['中煤第六十八工程有限公司'],['济宁'],物资管理,4k-6k,本科生毕业
['中煤第六十八工程有限公司'],['济宁'],土建施工员,6k-8k,本科生毕业
['爱尚旅行（北京）国际商务服务有限公司'],['北京'],财务,4k-6k,专科生毕业
['爱尚旅行（北京）国际商务服务有限公司'],['北京'],国际旅行规划师,4k-6k,专科生毕业
['爱尚旅行（北京）国际商务服务有限公司'],['北京'],行政人事,4k-6k,专科生毕业
['爱尚旅行（北京）国际商务服务有限公司'],['北京'],培训部经理助理,4k-6k,本科生毕业
['爱尚旅行（北京）国际商务服务有限公司'],['北京'],国际旅行顾问,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],管培生/包住宿/免费培训/五险,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],人事专员/助理/包住宿/五险,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],仓库/物料管理员,2k-4k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],行政助理,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],商业运营专员/助理,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],行政专员/助理,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],人力资源专员/人事助理,2k-4k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],管培生,6k-8k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],商业运营专员/助理,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],出差专员,4k-6k,专科生毕业
['郑州伊莱沙伯电子科技有限公司'],['郑州'],渠道销售/分销员,4k-6k,专科生毕业
